Country,ISO,Year,school_years
Afghanistan,AFG,2020,5.0528383
Albania,ALB,2020,8.953018
Algeria,DZA,2020,7.0915527
Angola,AGO,2020,4.2349777
Antigua and Barbuda,ATG,2020,8.444422
Argentina,ARG,2020,8.41131
Armenia,ARM,2020,7.994621
Australia,AUS,2020,11.222505
Austria,AUT,2020,10.906205
Azerbaijan,AZE,2020,8.281513
Bahrain,BHR,2020,9.286839
Bangladesh,BGD,2020,5.989421
Belarus,BLR,2020,10.784273
Belgium,BEL,2020,11.183289
Benin,BEN,2020,5.6664166
Bhutan,BTN,2020,6.3267903
Bosnia and Herzegovina,BIH,2020,7.801883
Botswana,BWA,2020,5.0830455
Brazil,BRA,2020,7.8728395
Brunei,BRN,2020,9.218924
Bulgaria,BGR,2020,8.687309
Burkina Faso,BFA,2020,4.5330615
Burundi,BDI,2020,5.1646743
Cambodia,KHM,2020,6.8439803
Cameroon,CMR,2020,5.2868743
Canada,CAN,2020,11.724046
Central African Republic,CAF,2020,2.6961548
Chad,TCD,2020,2.830429
Chile,CHL,2020,9.40743
China,CHN,2020,9.270027
Colombia,COL,2020,8.622162
Comoros,COM,2020,5.12939
Congo,COG,2020,5.2851167
Costa Rica,CRI,2020,8.993311
Cote d'Ivoire,CIV,2020,4.811591
Croatia,HRV,2020,10.446162
Cyprus,CYP,2020,10.91709
Czechia,CZE,2020,11.116524
Democratic Republic of Congo,COD,2020,4.5322757
Denmark,DNK,2020,11.098828
Dominica,DMA,2020,8.008872
Dominican Republic,DOM,2020,6.558533
East Timor,TLS,2020,6.292721
Ecuador,ECU,2020,8.69649
Egypt,EGY,2020,6.5293627
El Salvador,SLV,2020,7.6372886
Estonia,EST,2020,11.719313
Eswatini,SWZ,2020,4.5254297
Ethiopia,ETH,2020,4.3491125
Fiji,FJI,2020,6.951136
Finland,FIN,2020,11.738752
France,FRA,2020,11.2687235
Gabon,GAB,2020,6.024927
Gambia,GMB,2020,5.3754196
Georgia,GEO,2020,8.273992
Germany,DEU,2020,11.03309
Ghana,GHA,2020,5.9587283
Greece,GRC,2020,9.964251
Grenada,GRD,2020,8.273588
Guatemala,GTM,2020,6.29769
Guinea,GIN,2020,4.56822
Guyana,GUY,2020,6.7632494
Haiti,HTI,2020,6.1498604
Honduras,HND,2020,6.133804
Hong Kong,HKG,2020,11.886783
Hungary,HUN,2020,10.271568
Iceland,ISL,2020,10.718311
India,IND,2020,7.1021705
Indonesia,IDN,2020,7.8277683
Iran,IRN,2020,8.192462
Iraq,IRQ,2020,4.0308604
Ireland,IRL,2020,11.594797
Israel,ISR,2020,10.586509
Italy,ITA,2020,10.451879
Jamaica,JAM,2020,7.057986
Japan,JPN,2020,11.735149
Jordan,JOR,2020,7.6661263
Kazakhstan,KAZ,2020,9.127437
Kenya,KEN,2020,8.469239
Kiribati,KIR,2020,7.381945
Kosovo,OWID_KOS,2020,7.8708215
Kuwait,KWT,2020,7.382034
Kyrgyzstan,KGZ,2020,8.652101
Laos,LAO,2020,6.252321
Latvia,LVA,2020,10.978801
Lebanon,LBN,2020,6.3352394
Lesotho,LSO,2020,6.314051
Liberia,LBR,2020,2.2065024
Lithuania,LTU,2020,10.975232
Luxembourg,LUX,2020,9.795577
Macao,MAC,2020,11.573814
Madagascar,MDG,2020,4.713441
Malawi,MWI,2020,5.5056524
Malaysia,MYS,2020,8.889285
Mali,MLI,2020,2.5783932
Malta,MLT,2020,10.193024
Marshall Islands,MHL,2020,5.659488
Mauritania,MRT,2020,4.2314367
Mauritius,MUS,2020,9.405725
Mexico,MEX,2020,8.824254
Micronesia (country),FSM,2020,7.186352
Moldova,MDA,2020,8.288821
Mongolia,MNG,2020,9.153257
Montenegro,MNE,2020,8.9080925
Morocco,MAR,2020,6.3176813
Mozambique,MOZ,2020,4.471788
Myanmar,MMR,2020,6.787967
Namibia,NAM,2020,6.106065
Nauru,NRU,2020,6.5116167
Nepal,NPL,2020,7.226661
Netherlands,NLD,2020,11.539022
New Zealand,NZL,2020,11.390235
Nicaragua,NIC,2020,6.747723
Niger,NER,2020,2.682462
Nigeria,NGA,2020,5.0383425
North Macedonia,MKD,2020,7.296405
Norway,NOR,2020,11.233873000000001
Oman,OMN,2020,8.644991
Pakistan,PAK,2020,5.079235
Palau,PLW,2020,8.692236
Palestine,PSE,2020,8.047291
Panama,PAN,2020,6.4808674
Papua New Guinea,PNG,2020,5.9989457
Paraguay,PRY,2020,6.976486
Peru,PER,2020,8.632247
Philippines,PHL,2020,7.492334
Poland,POL,2020,11.374183
Portugal,PRT,2020,11.310053
Qatar,QAT,2020,8.77822
Romania,ROU,2020,8.369189
Russia,RUS,2020,10.898087
Rwanda,RWA,2020,3.9257712
Saint Kitts and Nevis,KNA,2020,8.477751
Saint Lucia,LCA,2020,8.4803295
Saint Vincent and the Grenadines,VCT,2020,7.71073
Samoa,WSM,2020,7.2451687
Saudi Arabia,SAU,2020,7.8881774
Senegal,SEN,2020,4.838319
Serbia,SRB,2020,9.752607
Seychelles,SYC,2020,9.700825
Sierra Leone,SLE,2020,4.8547077
Singapore,SGP,2020,12.81329
Slovakia,SVK,2020,9.799783
Slovenia,SVN,2020,11.370939
Solomon Islands,SLB,2020,4.675106
South Africa,ZAF,2020,5.603404
South Korea,KOR,2020,11.684028
South Sudan,SSD,2020,2.5113463
Spain,ESP,2020,10.514696
Sri Lanka,LKA,2020,8.462184
Sudan,SDN,2020,4.301438
Sweden,SWE,2020,11.580874
Switzerland,CHE,2020,10.933773
Tajikistan,TJK,2020,6.785475
Tanzania,TZA,2020,4.4849176
Thailand,THA,2020,8.68309
Togo,TGO,2020,5.9727387
Tonga,TON,2020,7.1402106
Trinidad and Tobago,TTO,2020,9.115808
Tunisia,TUN,2020,6.494052
Turkey,TUR,2020,9.227495
Tuvalu,TUV,2020,5.9977837
Uganda,UGA,2020,4.335872
Ukraine,UKR,2020,9.874516
United Arab Emirates,ARE,2020,9.645997
United Kingdom,GBR,2020,11.538006
United States,USA,2020,10.55677
Uruguay,URY,2020,8.551203
Uzbekistan,UZB,2020,9.133364
Vanuatu,VUT,2020,5.6242585
Vietnam,VNM,2020,10.680542
Yemen,YEM,2020,4.1787615
Zambia,ZMB,2020,5.036293
Zimbabwe,ZWE,2020,7.0066104
